Dataset,Cond_Size,Ridge,k,Learn_A,Norm,Epoch,Acc,Std.
ogbn-arxiv,90,5,2,0,0,56,65.69,0.29
ogbn-arxiv,90,5,2,0,1,176,65.31,0.03
ogbn-arxiv,90,5,2,1,0,197,63.80,0.59
ogbn-arxiv,90,5,2,1,1,199,63.35,0.91
ogbn-arxiv,90,5,3,0,0,187,65.08,0.40
ogbn-arxiv,90,5,3,0,1,194,64.80,0.04
ogbn-arxiv,90,5,3,1,0,173,59.30,0.19
ogbn-arxiv,90,5,3,1,1,199,58.22,1.16
ogbn-arxiv,90,5,4,0,0,178,64.57,0.13
ogbn-arxiv,90,5,4,0,1,190,64.14,0.02
ogbn-arxiv,90,5,4,1,0,133,39.97,0.50
ogbn-arxiv,90,5,4,1,1,199,39.90,0.43
ogbn-arxiv,90,1e1,1,0,0,94,64.26,0.19
ogbn-arxiv,90,1e1,1,0,1,199,63.85,0.03
ogbn-arxiv,90,1e1,1,1,0,191,63.88,0.20
ogbn-arxiv,90,1e1,1,1,1,157,63.88,0.10
ogbn-arxiv,90,1e1,2,0,0,171,65.48,0.26
ogbn-arxiv,90,1e1,2,0,1,196,65.16,0.07
ogbn-arxiv,90,1e1,2,1,0,185,62.75,0.37
ogbn-arxiv,90,1e1,2,1,1,190,63.19,0.27
ogbn-arxiv,90,1e1,3,0,0,158,65.12,0.17
ogbn-arxiv,90,1e1,3,0,1,199,64.49,0.02
ogbn-arxiv,90,1e1,3,1,0,200,57.77,0.20
ogbn-arxiv,90,1e1,3,1,1,197,56.92,1.47
ogbn-arxiv,90,1e1,4,0,0,150,64.63,0.09
ogbn-arxiv,90,1e1,4,0,1,199,63.78,0.07
ogbn-arxiv,90,1e1,4,1,0,192,39.81,0.55
ogbn-arxiv,90,1e1,4,1,1,199,38.96,0.83
ogbn-arxiv,454,1e-3,1,0,0,99,63.97,0.19
ogbn-arxiv,454,1e-3,1,0,1,44,63.21,0.26
ogbn-arxiv,454,1e-3,1,1,0,191,63.65,0.38
ogbn-arxiv,454,1e-3,1,1,1,184,63.39,0.36
ogbn-arxiv,454,1e-3,2,0,0,70,65.54,0.14
ogbn-arxiv,454,1e-3,2,0,1,179,64.89,0.50
ogbn-arxiv,454,1e-3,2,1,0,162,64.02,0.22
ogbn-arxiv,454,1e-3,2,1,1,167,64.34,0.32
ogbn-arxiv,454,1e-3,3,0,0,61,65.09,0.15
ogbn-arxiv,454,1e-3,3,0,1,146,64.49,0.34
ogbn-arxiv,454,1e-3,3,1,0,169,63.14,0.41
ogbn-arxiv,454,1e-3,3,1,1,169,62.63,0.37
ogbn-arxiv,454,1e-3,4,0,0,146,64.54,0.19
ogbn-arxiv,454,1e-3,4,0,1,150,63.88,0.25
ogbn-arxiv,454,1e-3,4,1,0,192,62.06,0.20
ogbn-arxiv,454,1e-3,4,1,1,172,59.60,0.57
ogbn-arxiv,454,1e-2,1,0,0,56,64.07,0.17
ogbn-arxiv,454,1e-2,1,0,1,68,63.69,0.11
ogbn-arxiv,454,1e-2,1,1,0,62,63.40,0.31
ogbn-arxiv,454,1e-2,1,1,1,69,63.12,0.24
ogbn-arxiv,454,1e-2,2,0,0,125,65.41,0.06
ogbn-arxiv,454,1e-2,2,0,1,141,65.27,0.23
ogbn-arxiv,454,1e-2,2,1,0,197,64.47,0.13
ogbn-arxiv,454,1e-2,2,1,1,197,63.58,0.12
ogbn-arxiv,454,1e-2,3,0,0,146,65.07,0.06
ogbn-arxiv,454,1e-2,3,0,1,104,64.85,0.02
ogbn-arxiv,454,1e-2,3,1,0,199,64.00,0.15
ogbn-arxiv,454,1e-2,3,1,1,170,60.87,0.39
ogbn-arxiv,454,1e-2,4,0,0,146,64.52,0.17
ogbn-arxiv,454,1e-2,4,0,1,66,64.51,0.03
ogbn-arxiv,454,1e-2,4,1,0,199,57.09,0.12
ogbn-arxiv,454,1e-2,4,1,1,200,45.27,1.26
ogbn-arxiv,454,1e-1,1,0,0,69,64.14,0.07
ogbn-arxiv,454,1e-1,1,0,1,59,63.80,0.14
ogbn-arxiv,454,1e-1,1,1,0,37,63.12,0.10
ogbn-arxiv,454,1e-1,1,1,1,31,63.92,0.10
ogbn-arxiv,454,1e-1,2,0,0,56,65.40,0.07
ogbn-arxiv,454,1e-1,2,0,1,44,65.33,0.04
ogbn-arxiv,454,1e-1,2,1,0,198,64.95,0.11
ogbn-arxiv,454,1e-1,2,1,1,189,64.30,0.29
ogbn-arxiv,454,1e-1,3,0,0,66,65.01,0.12
ogbn-arxiv,454,1e-1,3,0,1,56,64.97,0.27
ogbn-arxiv,454,1e-1,3,1,0,199,62.52,0.19
ogbn-arxiv,454,1e-1,3,1,1,198,60.60,0.89
ogbn-arxiv,454,1e-1,4,0,0,146,64.49,0.10
ogbn-arxiv,454,1e-1,4,0,1,56,64.42,0.11
ogbn-arxiv,454,1e-1,4,1,0,174,37.37,0.58
ogbn-arxiv,454,1e-1,4,1,1,87,22.65,14.77
ogbn-arxiv,454,5e-1,1,0,0,68,64.12,0.17
ogbn-arxiv,454,5e-1,1,0,1,46,63.93,0.02
ogbn-arxiv,454,5e-1,1,1,0,157,63.12,0.10
ogbn-arxiv,454,5e-1,1,1,1,69,63.74,0.25
ogbn-arxiv,454,5e-1,2,0,0,164,65.52,0.09
ogbn-arxiv,454,5e-1,2,0,1,59,65.38,0.12
ogbn-arxiv,454,5e-1,2,1,0,77,62.99,0.52
ogbn-arxiv,454,5e-1,2,1,1,189,65.38,0.11
ogbn-arxiv,454,5e-1,3,0,0,163,65.03,0.06
ogbn-arxiv,454,5e-1,3,0,1,52,64.93,0.13
ogbn-arxiv,454,5e-1,3,1,0,199,62.95,0.54
ogbn-arxiv,454,5e-1,3,1,1,199,60.70,0.14
