Using cuda:0 device
The  1-th iteration
---------------------------------------------
Epoch 1 Test Acc: 24.1563%, Test loss: 0.121545
Epoch 2 Test Acc: 30.1394%, Test loss: 0.120790
Epoch 3 Test Acc: 32.1203%, Test loss: 0.120571
Epoch 4 Test Acc: 33.2631%, Test loss: 0.120460
Epoch 5 Test Acc: 34.1684%, Test loss: 0.120368
Epoch 6 Test Acc: 34.5359%, Test loss: 0.120360
Epoch 7 Test Acc: 34.7062%, Test loss: 0.120389
Epoch 8 Test Acc: 34.9303%, Test loss: 0.120428
Epoch 9 Test Acc: 34.7959%, Test loss: 0.120492
Epoch 10 Test Acc: 34.8138%, Test loss: 0.120560
Epoch 11 Test Acc: 35.1858%, Test loss: 0.120589
Epoch 12 Test Acc: 35.5577%, Test loss: 0.120576
Epoch 13 Test Acc: 35.8804%, Test loss: 0.120550
Epoch 14 Test Acc: 36.1807%, Test loss: 0.120505
Epoch 15 Test Acc: 36.3824%, Test loss: 0.120464
Epoch 16 Test Acc: 36.3465%, Test loss: 0.120461
Epoch 17 Test Acc: 36.2883%, Test loss: 0.120477
Epoch 18 Test Acc: 36.1941%, Test loss: 0.120490
Epoch 19 Test Acc: 36.3869%, Test loss: 0.120496
Epoch 20 Test Acc: 36.4541%, Test loss: 0.120489
Epoch 21 Test Acc: 36.5392%, Test loss: 0.120485
Epoch 22 Test Acc: 36.5213%, Test loss: 0.120490
Epoch 23 Test Acc: 36.5706%, Test loss: 0.120488
Epoch 24 Test Acc: 36.5885%, Test loss: 0.120471
Epoch 25 Test Acc: 36.4362%, Test loss: 0.120460
Epoch 26 Test Acc: 36.4944%, Test loss: 0.120467
Epoch 27 Test Acc: 36.4182%, Test loss: 0.120476
Epoch 28 Test Acc: 36.3869%, Test loss: 0.120471
Epoch 29 Test Acc: 36.4048%, Test loss: 0.120469
Epoch 30 Test Acc: 36.5123%, Test loss: 0.120469
Epoch 31 Test Acc: 36.4675%, Test loss: 0.120464
Epoch 32 Test Acc: 36.5303%, Test loss: 0.120468
Epoch 33 Test Acc: 36.4675%, Test loss: 0.120473
Epoch 34 Test Acc: 36.4406%, Test loss: 0.120469
Epoch 35 Test Acc: 36.6109%, Test loss: 0.120446
Epoch 36 Test Acc: 36.5392%, Test loss: 0.120447
Epoch 37 Test Acc: 36.5303%, Test loss: 0.120455
Epoch 38 Test Acc: 36.5841%, Test loss: 0.120446
Epoch 39 Test Acc: 36.4630%, Test loss: 0.120460
Epoch 40 Test Acc: 36.4227%, Test loss: 0.120461
Epoch 41 Test Acc: 36.4899%, Test loss: 0.120448
Epoch 42 Test Acc: 36.5213%, Test loss: 0.120443
Epoch 43 Test Acc: 36.3420%, Test loss: 0.120463
Epoch 44 Test Acc: 36.4496%, Test loss: 0.120448
Epoch 45 Test Acc: 36.4272%, Test loss: 0.120445
Epoch 46 Test Acc: 36.4989%, Test loss: 0.120433
Epoch 47 Test Acc: 36.5213%, Test loss: 0.120418
Epoch 48 Test Acc: 36.3913%, Test loss: 0.120439
Epoch 49 Test Acc: 36.3600%, Test loss: 0.120445
Epoch 50 Test Acc: 36.4586%, Test loss: 0.120431
Epoch 51 Test Acc: 36.4675%, Test loss: 0.120436
Epoch 52 Test Acc: 36.6334%, Test loss: 0.120404
Epoch 53 Test Acc: 36.3734%, Test loss: 0.120430
Epoch 54 Test Acc: 36.4496%, Test loss: 0.120430
Epoch 55 Test Acc: 36.5482%, Test loss: 0.120418
Epoch 56 Test Acc: 36.4855%, Test loss: 0.120439
Epoch 57 Test Acc: 36.6244%, Test loss: 0.120404
Epoch 58 Test Acc: 36.4944%, Test loss: 0.120425
Epoch 59 Test Acc: 36.4899%, Test loss: 0.120425
Epoch 60 Test Acc: 36.5930%, Test loss: 0.120417
Epoch 61 Test Acc: 36.5213%, Test loss: 0.120430
Epoch 62 Test Acc: 36.5123%, Test loss: 0.120417
Epoch 63 Test Acc: 36.4048%, Test loss: 0.120427
