Dataset,Cond_ratio,Ridge,k,Learn_A,Epoch,Acc,Std.,Time
Pubmed,0.25,1e-1,4,0,183,78.60,1.24,1.608
Pubmed,0.25,1e-1,4,1,165,65.72,3.35,0.974
Pubmed,0.25,1e-1,5,0,146,78.26,1.57,0.780
Pubmed,0.25,1e-1,5,1,190,65.30,2.29,1.077
Pubmed,0.25,5e-1,1,0,123,76.56,1.55,1.200
Pubmed,0.25,5e-1,1,1,147,73.92,1.52,0.929
Pubmed,0.25,5e-1,2,0,139,78.30,0.50,1.124
Pubmed,0.25,5e-1,2,1,175,74.22,0.68,1.058
Pubmed,0.25,5e-1,3,0,165,78.56,0.54,1.569
Pubmed,0.25,5e-1,3,1,180,71.00,3.52,1.133
Pubmed,0.25,5e-1,4,0,187,77.36,1.30,1.798
Pubmed,0.25,5e-1,4,1,195,62.74,5.82,1.189
Pubmed,0.25,5e-1,5,0,171,75.96,2.46,0.884
Pubmed,0.25,5e-1,5,1,157,56.16,9.57,0.981
Pubmed,0.25,1e0,1,0,124,76.22,1.11,1.262
Pubmed,0.25,1e0,1,1,146,72.98,0.92,0.881
Pubmed,0.25,1e0,2,0,155,77.12,1.88,1.432
Pubmed,0.25,1e0,2,1,199,72.06,2.95,1.198
Pubmed,0.25,1e0,3,0,128,75.84,2.26,1.208
Pubmed,0.25,1e0,3,1,185,70.78,3.83,1.128
Pubmed,0.25,1e0,4,0,169,75.60,2.45,1.422
Pubmed,0.25,1e0,4,1,192,61.24,7.04,1.037
Pubmed,0.25,1e0,5,0,125,74.86,1.52,0.690
Pubmed,0.25,1e0,5,1,193,52.22,1.97,1.085
Pubmed,0.25,5,1,0,149,74.52,1.97,1.410
Pubmed,0.25,5,1,1,177,74.16,0.88,1.020
Pubmed,0.25,5,2,0,179,75.06,3.08,1.513
Pubmed,0.25,5,2,1,192,71.04,0.99,1.118
Pubmed,0.25,5,3,0,149,74.36,2.08,1.401
Pubmed,0.25,5,3,1,195,57.84,5.40,1.119
Pubmed,0.25,5,4,0,196,73.80,2.42,1.682
Pubmed,0.25,5,4,1,193,50.58,1.58,1.227
Pubmed,0.25,5,5,0,128,73.62,0.80,0.729
Pubmed,0.25,5,5,1,198,50.98,0.86,1.160
Pubmed,0.25,1e1,1,0,138,75.46,0.79,1.345
Pubmed,0.25,1e1,1,1,200,72.78,2.41,1.163
Pubmed,0.25,1e1,2,0,143,73.14,3.61,1.428
Pubmed,0.25,1e1,2,1,200,61.28,7.26,1.105
Pubmed,0.25,1e1,3,0,131,71.98,3.42,1.197
Pubmed,0.25,1e1,3,1,150,50.14,2.66,0.960
Pubmed,0.25,1e1,4,0,177,74.76,1.89,1.554
Pubmed,0.25,1e1,4,1,194,50.12,1.88,1.146
Pubmed,0.25,1e1,5,0,139,72.26,2.89,0.789
Pubmed,0.25,1e1,5,1,197,49.34,0.99,1.217
Pubmed,0.5,1e-3,1,0,177,77.72,0.53,1.945
Pubmed,0.5,1e-3,1,1,192,68.64,4.21,1.137
Pubmed,0.5,1e-3,2,0,199,79.00,0.67,2.468
Pubmed,0.5,1e-3,2,1,144,70.44,4.50,0.969
Pubmed,0.5,1e-3,3,0,183,78.32,0.40,1.887
Pubmed,0.5,1e-3,3,1,196,73.30,2.74,1.295
Pubmed,0.5,1e-3,4,0,198,77.94,0.67,1.754
Pubmed,0.5,1e-3,4,1,196,76.10,3.13,1.274
Pubmed,0.5,1e-3,5,0,197,77.72,1.49,1.201
Pubmed,0.5,1e-3,5,1,200,72.24,3.98,1.307
Pubmed,0.5,1e-2,1,0,186,77.24,0.70,1.934
Pubmed,0.5,1e-2,1,1,197,72.32,2.12,1.261
Pubmed,0.5,1e-2,2,0,160,79.24,0.66,1.901
Pubmed,0.5,1e-2,2,1,200,70.60,5.12,1.190
Pubmed,0.5,1e-2,3,0,197,79.04,1.03,2.157
Pubmed,0.5,1e-2,3,1,170,73.38,1.68,1.085
Pubmed,0.5,1e-2,4,0,184,79.20,0.77,1.872
Pubmed,0.5,1e-2,4,1,174,73.48,1.82,1.095
Pubmed,0.5,1e-2,5,0,198,78.90,0.62,1.162
Pubmed,0.5,1e-2,5,1,181,71.32,1.59,1.175
Pubmed,0.5,1e-1,1,0,142,76.48,0.90,1.710
Pubmed,0.5,1e-1,1,1,191,72.34,2.29,1.208
Pubmed,0.5,1e-1,2,0,136,78.58,0.71,1.780
Pubmed,0.5,1e-1,2,1,186,76.42,1.86,1.187
Pubmed,0.5,1e-1,3,0,173,78.30,1.19,1.903
Pubmed,0.5,1e-1,3,1,200,72.78,4.35,1.288
Pubmed,0.5,1e-1,4,0,191,79.24,0.84,2.126
Pubmed,0.5,1e-1,4,1,187,71.26,3.23,1.139
Pubmed,0.5,1e-1,5,0,184,79.20,1.61,1.147
Pubmed,0.5,1e-1,5,1,194,55.38,20.06,1.316
Pubmed,0.5,5e-1,1,0,141,76.66,1.24,1.550
Pubmed,0.5,5e-1,1,1,198,74.56,1.24,1.259
Pubmed,0.5,5e-1,2,0,178,78.38,0.82,1.835
Pubmed,0.5,5e-1,2,1,199,76.84,0.92,1.246
Pubmed,0.5,5e-1,3,0,186,78.78,0.55,1.952
Pubmed,0.5,5e-1,3,1,196,72.90,1.35,1.261
Pubmed,0.5,5e-1,4,0,191,79.06,1.10,2.219
Pubmed,0.5,5e-1,4,1,176,60.92,8.51,1.161
Pubmed,0.5,5e-1,5,0,195,78.64,0.73,1.226
Pubmed,0.5,5e-1,5,1,174,52.08,3.37,1.114
Pubmed,0.5,1e0,1,0,163,76.84,0.65,1.573
Pubmed,0.5,1e0,1,1,179,75.24,2.04,1.090
Pubmed,0.5,1e0,2,0,198,78.30,0.43,2.060
Pubmed,0.5,1e0,2,1,194,74.02,2.33,1.234
Pubmed,0.5,1e0,3,0,142,77.96,0.67,1.908
Pubmed,0.5,1e0,3,1,196,71.02,2.16,1.253
Pubmed,0.5,1e0,4,0,146,77.00,1.80,1.701
Pubmed,0.5,1e0,4,1,170,56.06,7.74,1.042
Pubmed,0.5,1e0,5,0,190,77.28,2.17,1.154
Pubmed,0.5,1e0,5,1,164,53.76,8.17,1.074
Pubmed,0.5,5,1,0,154,74.84,2.09,1.932
Pubmed,0.5,5,1,1,169,75.06,2.04,1.041
Pubmed,0.5,5,2,0,168,76.42,2.24,1.574
Pubmed,0.5,5,2,1,197,71.84,3.40,1.164
Pubmed,0.5,5,3,0,114,73.56,1.24,1.506
Pubmed,0.5,5,3,1,174,55.16,4.74,1.102
Pubmed,0.5,5,4,0,134,75.44,0.86,1.579
Pubmed,0.5,5,4,1,177,52.54,5.18,1.156
Pubmed,0.5,5,5,0,173,73.84,2.18,1.070
Pubmed,0.5,5,5,1,153,52.30,7.29,1.051
Pubmed,0.5,1e1,1,0,151,74.80,1.02,1.679
Pubmed,0.5,1e1,1,1,191,73.72,2.35,1.170
Pubmed,0.5,1e1,2,0,170,75.66,3.23,2.123
Pubmed,0.5,1e1,2,1,194,68.10,4.10,1.224
Pubmed,0.5,1e1,3,0,177,72.82,5.79,1.806
Pubmed,0.5,1e1,3,1,186,53.16,3.16,1.123
Pubmed,0.5,1e1,4,0,158,75.00,2.30,1.707
Pubmed,0.5,1e1,4,1,188,51.10,0.90,1.209
Pubmed,0.5,1e1,5,0,199,72.80,2.85,1.262
Pubmed,0.5,1e1,5,1,196,51.04,0.66,1.239
Pubmed,1,1e-3,1,0,192,77.74,0.38,2.253
Pubmed,1,1e-3,1,1,179,73.70,1.02,1.280
Pubmed,1,1e-3,2,0,182,79.06,0.40,2.670
Pubmed,1,1e-3,2,1,113,75.62,2.98,0.949
Pubmed,1,1e-3,3,0,177,78.42,0.13,1.944
Pubmed,1,1e-3,3,1,91,75.22,2.09,0.829
Pubmed,1,1e-3,4,0,190,78.22,1.00,2.225
Pubmed,1,1e-3,4,1,148,71.98,9.38,1.119
Pubmed,1,1e-3,5,0,184,77.94,0.73,1.202
Pubmed,1,1e-3,5,1,186,68.50,10.03,1.440
Pubmed,1,1e-2,1,0,152,77.34,0.63,1.780
Pubmed,1,1e-2,1,1,193,75.08,0.94,1.421
Pubmed,1,1e-2,2,0,170,78.96,0.30,1.972
Pubmed,1,1e-2,2,1,81,74.06,2.14,0.775
Pubmed,1,1e-2,3,0,183,78.68,0.61,2.073
Pubmed,1,1e-2,3,1,92,73.08,1.81,0.782
Pubmed,1,1e-2,4,0,191,78.86,0.34,2.030
Pubmed,1,1e-2,4,1,169,65.14,15.46,1.212
Pubmed,1,1e-2,5,0,192,78.34,0.23,1.242
Pubmed,1,1e-2,5,1,190,67.32,9.14,1.400
Pubmed,1,1e-1,1,0,120,77.20,0.89,1.669
Pubmed,1,1e-1,1,1,199,76.04,1.11,1.374
Pubmed,1,1e-1,2,0,137,78.76,1.35,1.499
Pubmed,1,1e-1,2,1,200,76.92,0.90,1.435
Pubmed,1,1e-1,3,0,148,78.62,0.94,1.925
Pubmed,1,1e-1,3,1,176,74.82,2.58,1.378
Pubmed,1,1e-1,4,0,170,79.06,1.26,2.006
Pubmed,1,1e-1,4,1,197,66.38,7.45,1.535
Pubmed,1,1e-1,5,0,190,79.18,0.78,1.213
Pubmed,1,1e-1,5,1,152,54.52,6.14,1.200
Pubmed,1,5e-1,1,0,138,76.88,1.13,1.695
Pubmed,1,5e-1,1,1,193,76.14,1.34,1.370
Pubmed,1,5e-1,2,0,114,78.46,0.39,1.458
Pubmed,1,5e-1,2,1,166,77.46,0.51,1.230
Pubmed,1,5e-1,3,0,163,78.80,0.70,1.958
Pubmed,1,5e-1,3,1,184,69.36,6.36,1.391
Pubmed,1,5e-1,4,0,165,78.88,1.97,1.909
Pubmed,1,5e-1,4,1,192,57.12,15.59,1.323
Pubmed,1,5e-1,5,0,181,78.84,1.27,1.203
Pubmed,1,5e-1,5,1,200,52.60,0.46,1.399
Pubmed,1,1e0,1,0,178,76.88,0.62,2.026
Pubmed,1,1e0,1,1,172,76.42,1.02,1.230
Pubmed,1,1e0,2,0,153,78.58,0.95,1.897
Pubmed,1,1e0,2,1,175,77.18,0.88,1.205
Pubmed,1,1e0,3,0,187,78.68,0.93,2.154
Pubmed,1,1e0,3,1,186,72.20,2.57,1.392
Pubmed,1,1e0,4,0,172,78.60,1.26,1.939
Pubmed,1,1e0,4,1,200,53.10,6.32,1.459
Pubmed,1,1e0,5,0,136,78.38,1.37,0.970
Pubmed,1,1e0,5,1,200,52.00,0.79,1.546
Pubmed,1,5,1,0,126,76.32,0.83,1.638
Pubmed,1,5,1,1,164,76.72,1.49,1.213
Pubmed,1,5,2,0,180,77.80,0.88,2.204
Pubmed,1,5,2,1,193,74.50,1.03,1.480
Pubmed,1,5,3,0,185,76.94,2.71,2.023
Pubmed,1,5,3,1,186,55.32,6.32,1.374
Pubmed,1,5,4,0,169,75.50,3.10,1.621
Pubmed,1,5,4,1,178,54.26,5.76,1.367
Pubmed,1,5,5,0,196,75.44,3.87,1.253
Pubmed,1,5,5,1,178,52.24,1.77,1.455
Pubmed,1,1e1,1,0,164,75.18,2.09,2.137
Pubmed,1,1e1,1,1,199,75.24,1.76,1.382
Pubmed,1,1e1,2,0,130,76.00,2.45,1.355
Pubmed,1,1e1,2,1,193,73.52,1.55,1.326
Pubmed,1,1e1,3,0,172,75.02,2.96,1.928
Pubmed,1,1e1,3,1,194,54.92,5.03,1.363
Pubmed,1,1e1,4,0,125,73.94,2.16,1.509
Pubmed,1,1e1,4,1,189,52.18,0.27,1.354
Pubmed,1,1e1,5,0,139,74.26,3.08,0.978
Pubmed,1,1e1,5,1,187,51.82,0.48,1.427
Photo,0.25,1e-3,1,0,187,91.35,0.16,2.152
Photo,0.25,1e-3,1,1,196,89.10,1.19,1.563
Photo,0.25,1e-3,2,0,160,91.68,0.24,1.871
Photo,0.25,1e-3,2,1,194,87.50,2.61,1.439
Photo,0.25,1e-3,3,0,155,90.50,0.42,1.857
Photo,0.25,1e-3,3,1,184,78.43,5.38,1.355
Photo,0.25,1e-3,4,0,153,90.03,0.38,1.678
Photo,0.25,1e-3,4,1,200,56.33,4.66,1.523
Photo,0.25,1e-3,5,0,151,88.93,0.55,1.168
Photo,0.25,1e-3,5,1,200,43.65,6.51,1.511
Photo,0.25,1e-2,1,0,110,91.08,0.33,1.425
Photo,0.25,1e-2,1,1,160,90.22,0.85,1.167
Photo,0.25,1e-2,2,0,189,92.08,0.07,2.107
Photo,0.25,1e-2,2,1,192,87.85,1.62,1.370
Photo,0.25,1e-2,3,0,164,90.58,0.19,2.162
Photo,0.25,1e-2,3,1,174,67.58,5.33,1.216
Photo,0.25,1e-2,4,0,144,89.78,0.37,1.736
Photo,0.25,1e-2,4,1,194,55.20,13.47,1.421
Photo,0.25,1e-2,5,0,173,88.97,0.34,1.950
Photo,0.25,1e-2,5,1,200,34.62,4.05,1.449
Photo,0.25,1e-1,1,0,129,91.47,0.73,1.578
Photo,0.25,1e-1,1,1,200,88.90,0.50,1.413
Photo,0.25,1e-1,2,0,157,92.12,0.35,1.895
Photo,0.25,1e-1,2,1,192,80.18,6.23,1.360
Photo,0.25,1e-1,3,0,173,90.50,0.42,2.020
Photo,0.25,1e-1,3,1,197,68.05,5.75,1.489
Photo,0.25,1e-1,4,0,173,89.75,0.12,2.069
Photo,0.25,1e-1,4,1,167,59.58,10.39,1.275
Photo,0.25,1e-1,5,0,193,88.93,0.87,1.958
Photo,0.25,1e-1,5,1,192,31.45,8.26,1.604
Photo,0.25,5e-1,1,0,133,91.28,0.52,1.701
Photo,0.25,5e-1,1,1,191,85.35,1.25,1.409
Photo,0.25,5e-1,2,0,165,91.83,0.29,1.820
Photo,0.25,5e-1,2,1,195,81.00,3.49,1.549
Photo,0.25,5e-1,3,0,189,90.45,0.48,2.461
Photo,0.25,5e-1,3,1,170,65.45,10.19,1.292
Photo,0.25,5e-1,4,0,133,89.45,0.59,1.524
Photo,0.25,5e-1,4,1,200,34.70,9.95,1.469
Photo,0.25,5e-1,5,0,148,88.78,0.47,1.722
Photo,0.25,5e-1,5,1,145,25.58,1.93,1.316
Photo,0.25,1e0,1,0,135,91.25,0.61,1.476
Photo,0.25,1e0,1,1,200,82.33,2.72,1.479
Photo,0.25,1e0,2,0,177,91.68,0.38,1.950
Photo,0.25,1e0,2,1,170,82.30,3.38,1.407
Photo,0.25,1e0,3,0,163,90.40,0.41,2.168
Photo,0.25,1e0,3,1,189,61.65,7.67,1.266
Photo,0.25,1e0,4,0,198,89.43,0.68,2.084
Photo,0.25,1e0,4,1,146,26.73,4.30,1.084
Photo,0.25,1e0,5,0,196,88.45,0.66,1.888
Photo,0.25,1e0,5,1,120,24.90,0.80,0.923
Photo,0.25,5,1,0,131,88.35,4.22,1.264
Photo,0.25,5,1,1,196,83.12,1.76,1.401
Photo,0.25,5,2,0,165,90.65,1.21,1.953
Photo,0.25,5,2,1,176,64.35,8.47,1.291
Photo,0.25,5,3,0,158,85.00,5.85,1.995
Photo,0.25,5,3,1,129,26.83,4.64,1.046
Photo,0.25,5,4,0,167,83.93,6.31,2.160
Photo,0.25,5,4,1,190,24.83,0.24,1.452
Photo,0.25,5,5,0,138,83.55,2.79,1.499
Photo,0.25,5,5,1,152,24.85,0.06,1.274
Photo,0.25,1e1,1,0,148,81.97,7.95,1.975
Photo,0.25,1e1,1,1,198,79.10,2.79,1.362
Photo,0.25,1e1,2,0,127,82.47,5.67,1.559
Photo,0.25,1e1,2,1,194,45.20,6.17,1.530
Photo,0.25,1e1,3,0,124,78.70,6.11,1.602
Photo,0.25,1e1,3,1,113,25.02,2.58,1.005
Photo,0.25,1e1,4,0,91,75.90,1.81,1.279
Photo,0.25,1e1,4,1,187,24.70,0.11,1.525
Photo,0.25,1e1,5,0,142,74.30,8.22,1.595
Photo,0.25,1e1,5,1,146,24.80,0.07,1.107
Photo,0.5,1e-3,1,0,63,90.93,0.51,1.137
Photo,0.5,1e-3,1,1,137,89.90,0.68,1.091
Photo,0.5,1e-3,2,0,184,91.83,0.34,2.284
Photo,0.5,1e-3,2,1,198,88.90,0.89,1.561
Photo,0.5,1e-3,3,0,182,90.83,0.53,2.122
Photo,0.5,1e-3,3,1,192,83.40,2.61,1.661
Photo,0.5,1e-3,4,0,189,89.80,0.47,2.456
Photo,0.5,1e-3,4,1,193,66.53,3.48,1.751
Photo,0.5,1e-3,5,0,175,88.88,0.64,1.957
Photo,0.5,1e-3,5,1,194,44.92,6.72,1.503
Photo,0.5,1e-2,1,0,60,91.15,0.10,1.144
Photo,0.5,1e-2,1,1,137,90.62,0.51,1.233
Photo,0.5,1e-2,2,0,184,91.95,0.23,2.082
Photo,0.5,1e-2,2,1,185,88.22,1.69,1.385
Photo,0.5,1e-2,3,0,164,90.72,0.16,2.061
Photo,0.5,1e-2,3,1,200,77.33,2.73,1.590
Photo,0.5,1e-2,4,0,163,89.97,0.22,2.247
Photo,0.5,1e-2,4,1,187,55.17,7.42,1.505
Photo,0.5,1e-2,5,0,139,88.93,0.68,1.205
Photo,0.5,1e-2,5,1,200,21.08,2.95,1.570
Photo,0.5,1e-1,1,0,128,91.30,0.31,1.780
Photo,0.5,1e-1,1,1,186,90.50,1.09,1.533
Photo,0.5,1e-1,2,0,177,92.03,0.10,2.139
Photo,0.5,1e-1,2,1,197,78.72,5.81,1.739
Photo,0.5,1e-1,3,0,113,90.35,0.51,1.442
Photo,0.5,1e-1,3,1,199,76.08,4.07,1.713
Photo,0.5,1e-1,4,0,175,89.90,0.41,2.151
Photo,0.5,1e-1,4,1,186,43.40,9.35,1.640
Photo,0.5,1e-1,5,0,161,88.88,0.42,1.359
Photo,0.5,1e-1,5,1,169,24.85,0.22,1.483
Photo,0.5,5e-1,1,0,98,91.30,0.63,1.289
Photo,0.5,5e-1,1,1,199,88.30,1.13,1.715
Photo,0.5,5e-1,2,0,164,91.83,0.38,1.985
Photo,0.5,5e-1,2,1,161,78.93,6.98,1.222
Photo,0.5,5e-1,3,0,165,90.38,0.36,1.961
Photo,0.5,5e-1,3,1,183,64.93,15.49,1.479
Photo,0.5,5e-1,4,0,181,89.45,0.55,1.353
Photo,0.5,5e-1,4,1,193,25.02,0.71,1.414
Photo,0.5,5e-1,5,0,155,88.93,0.43,1.348
Photo,0.5,5e-1,5,1,142,25.08,1.11,1.266
Photo,0.5,1e0,1,0,97,91.08,0.49,0.883
Photo,0.5,1e0,1,1,183,86.08,2.39,1.333
Photo,0.5,1e0,2,0,142,91.90,0.35,1.045
Photo,0.5,1e0,2,1,136,79.85,5.34,1.121
Photo,0.5,1e0,3,0,116,90.38,0.36,0.972
Photo,0.5,1e0,3,1,200,48.95,4.14,1.534
Photo,0.5,1e0,4,0,187,89.75,0.41,1.381
Photo,0.5,1e0,4,1,114,25.00,0.91,0.943
Photo,0.5,1e0,5,0,191,88.90,0.58,1.807
Photo,0.5,1e0,5,1,116,24.93,0.70,0.996
Photo,0.5,5,1,0,176,90.75,1.41,1.283
Photo,0.5,5,1,1,197,86.03,2.37,1.531
Photo,0.5,5,2,0,186,91.55,0.31,1.359
Photo,0.5,5,2,1,179,60.78,14.88,1.475
Photo,0.5,5,3,0,149,90.05,0.75,1.119
Photo,0.5,5,3,1,126,25.33,2.25,1.037
Photo,0.5,5,4,0,187,89.03,1.11,1.424
Photo,0.5,5,4,1,117,24.65,0.16,1.057
Photo,0.5,5,5,0,154,88.28,0.19,1.342
Photo,0.5,5,5,1,154,24.65,0.14,1.313
Photo,0.5,1e1,1,0,183,89.78,1.36,1.292
Photo,0.5,1e1,1,1,199,83.95,3.70,1.473
Photo,0.5,1e1,2,0,130,88.75,3.78,1.013
Photo,0.5,1e1,2,1,193,42.67,9.81,1.611
Photo,0.5,1e1,3,0,161,87.60,1.42,1.262
Photo,0.5,1e1,3,1,122,25.58,2.20,1.118
Photo,0.5,1e1,4,0,158,87.75,2.08,1.157
Photo,0.5,1e1,4,1,117,24.65,0.16,1.128
Photo,0.5,1e1,5,0,151,84.88,4.67,1.384
Photo,0.5,1e1,5,1,157,24.68,0.11,1.378
Photo,1,1e-3,1,0,178,91.00,0.78,1.444
Photo,1,1e-3,1,1,196,91.43,0.55,1.696
Photo,1,1e-3,2,0,120,92.05,0.29,1.215
Photo,1,1e-3,2,1,142,89.70,0.62,1.486
Photo,1,1e-3,3,0,198,91.03,0.39,1.555
Photo,1,1e-3,3,1,190,86.15,2.80,1.686
Photo,1,1e-3,4,0,172,90.12,0.59,1.406
Photo,1,1e-3,4,1,200,65.93,10.15,1.828
Photo,1,1e-3,5,0,196,89.22,0.50,2.181
Photo,1,1e-3,5,1,199,19.18,1.19,1.800
Photo,1,1e-2,1,0,48,91.10,0.38,0.621
Photo,1,1e-2,1,1,134,90.88,0.51,1.247
Photo,1,1e-2,2,0,170,92.00,0.20,1.443
Photo,1,1e-2,2,1,176,88.55,0.65,1.694
Photo,1,1e-2,3,0,190,90.80,0.11,1.586
Photo,1,1e-2,3,1,190,81.43,4.70,1.794
Photo,1,1e-2,4,0,84,89.95,0.17,0.842
Photo,1,1e-2,4,1,194,43.83,4.73,1.838
Photo,1,1e-2,5,0,108,89.20,0.56,1.386
Photo,1,1e-2,5,1,87,19.18,0.26,1.076
Photo,1,1e-1,1,0,124,91.30,0.14,1.137
Photo,1,1e-1,1,1,195,90.78,0.68,1.806
Photo,1,1e-1,2,0,154,91.97,0.16,1.274
Photo,1,1e-1,2,1,193,81.10,6.68,1.840
Photo,1,1e-1,3,0,198,90.45,0.19,1.607
Photo,1,1e-1,3,1,200,73.50,4.01,1.896
Photo,1,1e-1,4,0,186,89.68,0.37,1.558
Photo,1,1e-1,4,1,200,25.27,4.68,1.798
Photo,1,1e-1,5,0,139,88.83,0.43,1.612
Photo,1,1e-1,5,1,181,18.98,0.10,1.731
Photo,1,5e-1,1,0,108,91.30,0.35,1.094
Photo,1,5e-1,1,1,200,88.62,1.94,1.685
Photo,1,5e-1,2,0,91,91.95,0.29,0.864
Photo,1,5e-1,2,1,154,82.10,5.54,1.349
Photo,1,5e-1,3,0,112,90.40,0.22,1.056
Photo,1,5e-1,3,1,199,50.55,4.34,1.771
Photo,1,5e-1,4,0,192,89.95,0.36,1.621
Photo,1,5e-1,4,1,191,24.75,0.00,1.680
Photo,1,5e-1,5,0,166,88.90,0.26,1.957
Photo,1,5e-1,5,1,149,24.77,0.06,1.365
Photo,1,1e0,1,0,97,91.25,0.47,0.958
Photo,1,1e0,1,1,183,87.00,1.87,1.675
Photo,1,1e0,2,0,147,91.97,0.21,1.356
Photo,1,1e0,2,1,165,80.40,4.43,1.765
Photo,1,1e0,3,0,195,90.38,0.37,1.581
Photo,1,1e0,3,1,199,30.48,4.98,1.775
Photo,1,1e0,4,0,179,89.78,0.46,1.545
Photo,1,1e0,4,1,174,25.08,0.73,1.616
Photo,1,1e0,5,0,170,89.12,0.34,1.662
Photo,1,1e0,5,1,158,24.85,0.06,1.656
Photo,1,5,1,0,121,91.18,0.55,1.170
Photo,1,5,1,1,183,85.12,3.23,1.788
Photo,1,5,2,0,123,91.70,0.53,1.123
Photo,1,5,2,1,184,48.17,14.89,1.583
Photo,1,5,3,0,169,90.30,0.63,1.465
Photo,1,5,3,1,182,24.73,0.37,1.671
Photo,1,5,4,0,191,89.53,1.07,1.689
Photo,1,5,4,1,149,24.65,0.10,1.391
Photo,1,5,5,0,198,88.65,0.84,2.058
Photo,1,5,5,1,184,24.65,0.10,1.724
Photo,1,1e1,1,0,137,91.00,1.02,1.299
Photo,1,1e1,1,1,185,87.72,0.82,1.651
Photo,1,1e1,2,0,188,91.62,0.47,1.573
Photo,1,1e1,2,1,199,35.20,8.63,1.778
Photo,1,1e1,3,0,182,90.22,0.77,1.555
Photo,1,1e1,3,1,159,24.68,0.11,1.383
Photo,1,1e1,4,0,167,89.25,0.70,1.512
Photo,1,1e1,4,1,156,24.65,0.16,1.527
Photo,1,1e1,5,0,181,88.35,0.63,1.392
Photo,1,1e1,5,1,182,24.62,0.15,1.763
Computers,0.25,1e-3,1,0,124,85.08,0.19,1.407
Computers,0.25,1e-3,1,1,199,84.84,0.73,1.531
Computers,0.25,1e-3,2,0,196,85.54,0.24,2.287
Computers,0.25,1e-3,2,1,195,82.62,0.53,1.568
Computers,0.25,1e-3,3,0,162,85.48,0.63,2.227
Computers,0.25,1e-3,3,1,189,67.88,7.74,1.471
Computers,0.25,1e-3,4,0,195,84.72,0.60,2.552
Computers,0.25,1e-3,4,1,192,48.80,5.37,1.431
Computers,0.25,1e-3,5,0,156,83.82,0.47,1.064
Computers,0.25,1e-3,5,1,198,29.96,3.58,1.389
Computers,0.25,1e-2,1,0,67,86.14,0.33,1.019
Computers,0.25,1e-2,1,1,182,85.06,0.50,1.355
Computers,0.25,1e-2,2,0,139,86.04,0.44,1.908
Computers,0.25,1e-2,2,1,198,77.66,4.12,1.579
Computers,0.25,1e-2,3,0,177,85.54,0.51,2.058
Computers,0.25,1e-2,3,1,189,59.28,4.30,1.604
Computers,0.25,1e-2,4,0,162,84.98,0.30,2.106
Computers,0.25,1e-2,4,1,193,37.84,5.25,1.464
Computers,0.25,1e-2,5,0,177,84.40,0.23,1.219
Computers,0.25,1e-2,5,1,193,23.52,3.12,1.425
Computers,0.25,1e-1,1,0,95,85.60,0.30,1.448
Computers,0.25,1e-1,1,1,200,84.40,0.25,1.427
Computers,0.25,1e-1,2,0,179,85.96,0.42,2.057
Computers,0.25,1e-1,2,1,161,63.82,5.11,1.199
Computers,0.25,1e-1,3,0,199,85.30,0.54,2.618
Computers,0.25,1e-1,3,1,193,47.64,5.38,1.454
Computers,0.25,1e-1,4,0,157,84.58,0.78,1.894
Computers,0.25,1e-1,4,1,196,44.10,8.23,1.571
Computers,0.25,1e-1,5,0,175,84.08,0.43,1.201
Computers,0.25,1e-1,5,1,195,22.18,3.63,1.501
Computers,0.25,5e-1,1,0,118,85.22,0.48,1.686
Computers,0.25,5e-1,1,1,194,79.80,2.89,1.549
Computers,0.25,5e-1,2,0,130,85.86,0.50,1.718
Computers,0.25,5e-1,2,1,200,60.44,9.43,1.595
Computers,0.25,5e-1,3,0,169,85.16,0.51,2.067
Computers,0.25,5e-1,3,1,174,46.54,7.03,1.285
Computers,0.25,5e-1,4,0,197,84.72,0.52,2.163
Computers,0.25,5e-1,4,1,153,21.82,4.41,1.159
Computers,0.25,5e-1,5,0,191,83.96,0.54,1.309
Computers,0.25,5e-1,5,1,133,20.88,0.50,1.156
Computers,0.25,1e0,1,0,174,85.36,0.35,2.006
Computers,0.25,1e0,1,1,187,77.36,2.14,1.382
Computers,0.25,1e0,2,0,126,85.66,0.11,1.734
Computers,0.25,1e0,2,1,173,59.70,10.16,1.348
Computers,0.25,1e0,3,0,150,85.14,0.28,2.014
Computers,0.25,1e0,3,1,163,28.90,6.97,1.245
Computers,0.25,1e0,4,0,165,84.42,0.23,2.068
Computers,0.25,1e0,4,1,154,20.84,1.79,1.189
Computers,0.25,1e0,5,0,165,83.56,0.83,1.148
Computers,0.25,1e0,5,1,168,19.92,0.04,1.276
Computers,0.25,5,1,0,180,85.22,0.54,2.101
Computers,0.25,5,1,1,171,78.60,1.67,1.261
Computers,0.25,5,2,0,117,81.98,3.48,1.526
Computers,0.25,5,2,1,190,37.92,12.77,1.527
Computers,0.25,5,3,0,126,79.46,3.29,1.671
Computers,0.25,5,3,1,130,20.78,2.33,1.101
Computers,0.25,5,4,0,199,79.56,8.15,2.393
Computers,0.25,5,4,1,147,19.94,0.09,1.225
Computers,0.25,5,5,0,183,78.96,4.68,1.251
Computers,0.25,5,5,1,154,19.90,0.00,1.212
Computers,0.25,1e1,1,0,124,72.34,4.67,1.627
Computers,0.25,1e1,1,1,193,69.14,6.32,1.503
Computers,0.25,1e1,2,0,129,73.66,4.95,1.588
Computers,0.25,1e1,2,1,196,23.66,3.33,1.538
