Dataset,Cond_ratio,Ridge,k,Learn_A,Epoch,Acc,Std.,Time
Cora,0.5,1e-1,1,0,81,77.70,0.45,1.203
Cora,0.5,1e-1,1,1,134,76.30,0.78,1.168
Cora,0.5,1e-1,2,0,93,81.64,0.90,1.378
Cora,0.5,1e-1,2,1,152,77.80,1.82,1.272
Cora,0.5,1e-1,3,0,120,81.94,0.22,1.604
Cora,0.5,1e-1,3,1,190,76.28,3.16,1.478
Cora,0.5,1e-1,4,0,107,82.04,0.93,1.481
Cora,0.5,1e-1,4,1,173,33.86,6.45,1.230
Cora,0.5,1e-1,5,0,85,81.60,0.76,0.762
Cora,0.5,1e-1,5,1,181,26.08,1.59,1.358
Cora,0.5,5e-1,1,0,85,77.94,0.57,1.425
Cora,0.5,5e-1,1,1,129,76.52,1.19,1.085
Cora,0.5,5e-1,2,0,90,81.40,0.73,1.372
Cora,0.5,5e-1,2,1,200,79.34,0.40,1.541
Cora,0.5,5e-1,3,0,97,81.92,1.05,1.327
Cora,0.5,5e-1,3,1,198,58.48,11.98,1.606
Cora,0.5,5e-1,4,0,89,82.56,0.70,1.174
Cora,0.5,5e-1,4,1,190,22.82,1.91,1.488
Cora,0.5,5e-1,5,0,95,81.74,1.35,0.858
Cora,0.5,5e-1,5,1,199,20.56,1.80,1.595
Cora,0.5,1e0,1,0,97,77.88,0.88,1.416
Cora,0.5,1e0,1,1,128,76.68,0.70,1.170
Cora,0.5,1e0,2,0,106,81.58,0.37,1.426
Cora,0.5,1e0,2,1,195,80.46,0.93,1.435
Cora,0.5,1e0,3,0,101,82.36,0.92,1.329
Cora,0.5,1e0,3,1,198,50.02,11.37,1.592
Cora,0.5,1e0,4,0,109,81.98,1.19,1.509
Cora,0.5,1e0,4,1,199,21.32,1.21,1.371
Cora,0.5,1e0,5,0,103,82.02,0.55,0.934
Cora,0.5,1e0,5,1,195,20.74,1.27,1.563
Cora,0.5,5,1,0,146,77.46,1.00,1.597
Cora,0.5,5,1,1,181,76.58,2.07,1.465
Cora,0.5,5,2,0,128,81.26,1.22,1.714
Cora,0.5,5,2,1,200,62.64,11.33,1.744
Cora,0.5,5,3,0,130,82.26,0.60,1.695
Cora,0.5,5,3,1,162,24.70,7.91,1.405
Cora,0.5,5,4,0,129,82.18,1.03,1.826
Cora,0.5,5,4,1,176,21.26,7.57,1.454
Cora,0.5,5,5,0,129,81.66,0.59,1.066
Cora,0.5,5,5,1,198,20.60,0.91,1.647
Cora,0.5,1e1,1,0,133,77.28,0.56,1.438
Cora,0.5,1e1,1,1,198,73.92,2.43,1.592
Cora,0.5,1e1,2,0,179,81.52,0.53,1.974
Cora,0.5,1e1,2,1,199,33.42,5.23,1.577
Cora,0.5,1e1,3,0,163,81.64,0.96,2.016
Cora,0.5,1e1,3,1,180,22.98,6.88,1.443
Cora,0.5,1e1,4,0,145,81.22,1.27,1.581
Cora,0.5,1e1,4,1,179,21.50,7.69,1.506
Cora,0.5,1e1,5,0,175,81.70,0.98,1.252
Cora,0.5,1e1,5,1,199,20.48,0.97,1.484
Cora,1,1e-3,1,0,52,77.16,0.36,0.788
Cora,1,1e-3,1,1,81,77.30,0.85,0.810
Cora,1,1e-3,2,0,59,80.92,0.96,1.126
Cora,1,1e-3,2,1,180,79.52,0.74,1.585
Cora,1,1e-3,3,0,58,81.58,1.32,1.090
Cora,1,1e-3,3,1,196,78.28,0.86,1.622
Cora,1,1e-3,4,0,69,82.12,0.54,1.143
Cora,1,1e-3,4,1,198,72.90,5.19,1.779
Cora,1,1e-3,5,0,76,81.78,0.88,0.846
Cora,1,1e-3,5,1,195,16.52,2.34,1.768
Cora,1,1e-2,1,0,88,78.08,0.63,1.334
Cora,1,1e-2,1,1,110,77.58,0.77,1.027
Cora,1,1e-2,2,0,121,81.64,0.30,1.652
Cora,1,1e-2,2,1,72,80.88,0.99,0.857
Cora,1,1e-2,3,0,111,82.06,0.80,1.513
Cora,1,1e-2,3,1,194,78.56,1.42,1.633
Cora,1,1e-2,4,0,87,82.48,0.69,1.328
Cora,1,1e-2,4,1,200,22.66,3.63,1.736
Cora,1,1e-2,5,0,90,82.36,0.39,0.863
Cora,1,1e-2,5,1,193,21.26,2.72,1.823
Cora,1,1e-1,1,0,90,77.58,0.79,1.585
Cora,1,1e-1,1,1,90,77.54,0.65,0.984
Cora,1,1e-1,2,0,80,81.50,0.52,1.436
Cora,1,1e-1,2,1,166,79.58,0.58,1.510
Cora,1,1e-1,3,0,100,82.04,0.77,1.670
Cora,1,1e-1,3,1,195,74.02,4.64,1.756
Cora,1,1e-1,4,0,85,82.36,1.07,1.543
Cora,1,1e-1,4,1,1,18.36,9.02,0.258
Cora,1,1e-1,5,0,83,81.94,0.85,0.836
Cora,1,1e-1,5,1,200,18.22,0.13,2.002
Cora,1,5e-1,1,0,79,77.82,0.26,1.356
Cora,1,5e-1,1,1,113,77.54,0.86,1.154
Cora,1,5e-1,2,0,80,81.24,0.30,1.376
Cora,1,5e-1,2,1,141,80.54,0.58,1.245
Cora,1,5e-1,3,0,84,82.02,0.88,1.308
Cora,1,5e-1,3,1,200,21.58,3.42,1.925
Cora,1,5e-1,4,0,93,82.58,0.68,1.523
Cora,1,5e-1,4,1,200,19.50,3.47,1.809
Cora,1,5e-1,5,0,81,81.92,0.54,0.771
Cora,1,5e-1,5,1,200,19.44,2.98,1.858
Cora,1,1e0,1,0,83,77.84,0.42,1.361
Cora,1,1e0,1,1,124,77.54,0.29,1.264
Cora,1,1e0,2,0,89,81.58,0.46,1.372
Cora,1,1e0,2,1,199,78.52,0.99,1.765
Cora,1,1e0,3,0,89,82.20,0.31,1.376
Cora,1,1e0,3,1,200,17.84,4.41,1.843
Cora,1,1e0,4,0,94,82.40,1.08,1.505
Cora,1,1e0,4,1,194,16.64,4.49,1.651
Cora,1,1e0,5,0,94,81.94,1.51,0.880
Cora,1,1e0,5,1,197,16.56,3.54,1.889
Cora,1,5,1,0,130,77.56,0.67,2.032
Cora,1,5,1,1,173,77.42,0.94,1.598
Cora,1,5,2,0,127,81.30,1.47,1.899
Cora,1,5,2,1,198,29.68,5.18,1.978
Cora,1,5,3,0,121,81.82,1.15,1.840
Cora,1,5,3,1,191,17.88,7.80,1.677
Cora,1,5,4,0,122,82.18,0.98,1.834
Cora,1,5,4,1,189,17.10,8.36,1.891
Cora,1,5,5,0,131,82.22,0.81,1.180
Cora,1,5,5,1,199,16.34,3.47,1.932
Cora,1,1e1,1,0,164,78.10,1.92,2.186
Cora,1,1e1,1,1,198,72.96,2.53,1.783
Cora,1,1e1,2,0,153,81.38,0.77,2.107
Cora,1,1e1,2,1,200,20.66,1.66,1.909
Cora,1,1e1,3,0,160,81.80,1.10,1.982
Cora,1,1e1,3,1,193,17.78,7.58,1.635
Cora,1,1e1,4,0,159,81.92,0.27,2.511
Cora,1,1e1,4,1,199,15.94,3.51,1.754
Cora,1,1e1,5,0,137,81.34,0.73,1.262
Cora,1,1e1,5,1,196,16.34,3.61,1.805
Citeseer,0.25,1e-3,1,0,52,69.60,0.62,0.905
Citeseer,0.25,1e-3,1,1,188,69.78,0.72,1.307
Citeseer,0.25,1e-3,2,0,66,71.36,0.71,0.965
Citeseer,0.25,1e-3,2,1,90,66.52,2.48,0.766
Citeseer,0.25,1e-3,3,0,79,71.18,0.59,1.142
Citeseer,0.25,1e-3,3,1,195,61.96,4.50,1.417
Citeseer,0.25,1e-3,4,0,80,71.12,0.75,1.357
Citeseer,0.25,1e-3,4,1,182,55.90,9.18,1.442
Citeseer,0.25,1e-3,5,0,86,71.44,0.44,0.714
Citeseer,0.25,1e-3,5,1,162,46.70,13.94,1.087
Citeseer,0.25,1e-2,1,0,69,70.74,0.34,1.110
Citeseer,0.25,1e-2,1,1,166,70.16,0.88,1.354
Citeseer,0.25,1e-2,2,0,98,71.70,0.32,1.422
Citeseer,0.25,1e-2,2,1,84,64.96,1.60,0.803
Citeseer,0.25,1e-2,3,0,89,71.74,0.76,1.287
Citeseer,0.25,1e-2,3,1,200,64.14,2.75,1.536
