Dataset,Model,Cond_ratio,Learn_A,k,Epoch,Mean_Acc,Std.,Best_Acc
Cora,SAGE,0.25,0,5,319,0.4630,0.0798,0.529
Cora,SAGE,0.25,1,5,73,0.5680,0.0106,0.604
Cora,SAGE,0.5,0,1,294,0.6416,0.0079,0.653
Cora,SAGE,0.5,1,1,383,0.6422,0.0137,0.659
Cora,SAGE,0.5,0,2,390,0.6410,0.0089,0.652
Cora,SAGE,0.5,1,2,390,0.6390,0.0168,0.658
Cora,SAGE,0.5,0,3,396,0.6388,0.0093,0.654
Cora,SAGE,0.5,1,3,379,0.6366,0.0155,0.657
Cora,SAGE,0.5,0,4,381,0.6320,0.0106,0.658
Cora,SAGE,0.5,1,4,383,0.6328,0.0153,0.654
Cora,SAGE,0.5,0,5,323,0.6262,0.0122,0.66
Cora,SAGE,0.5,1,5,371,0.6286,0.0172,0.648
Cora,SAGE,1.0,0,1,139,0.7386,0.0655,0.796
Cora,SAGE,1.0,1,1,271,0.7456,0.0492,0.783
Cora,SAGE,1.0,0,2,131,0.7414,0.0630,0.808
Cora,SAGE,1.0,1,2,196,0.7458,0.0464,0.784
Cora,SAGE,1.0,0,3,148,0.7422,0.0650,0.799
Cora,SAGE,1.0,1,3,188,0.7360,0.0451,0.781
Cora,SAGE,1.0,0,4,148,0.7398,0.0661,0.797
Cora,SAGE,1.0,1,4,181,0.7316,0.0468,0.78
Cora,SAGE,1.0,0,5,124,0.7378,0.0624,0.796
Cora,SAGE,1.0,1,5,179,0.7220,0.0453,0.773
Cora,APPNP,0.25,0,1,281,0.5094,0.0480,0.578
Cora,APPNP,0.25,1,1,25,0.6564,0.0613,0.758
Cora,APPNP,0.25,0,2,281,0.5252,0.0551,0.594
Cora,APPNP,0.25,1,2,27,0.6608,0.0649,0.768
Cora,APPNP,0.25,0,3,281,0.5258,0.0540,0.599
Cora,APPNP,0.25,1,3,26,0.6618,0.0677,0.77
Cora,APPNP,0.25,0,4,281,0.5232,0.0584,0.603
Cora,APPNP,0.25,1,4,26,0.6578,0.0729,0.766
Cora,APPNP,0.25,0,5,281,0.5206,0.0584,0.603
Cora,APPNP,0.25,1,5,25,0.6538,0.0761,0.766
Cora,APPNP,0.5,0,1,398,0.6694,0.0126,0.737
Cora,APPNP,0.5,1,1,47,0.6444,0.0290,0.696
Cora,APPNP,0.5,0,2,376,0.6682,0.0114,0.744
Cora,APPNP,0.5,1,2,49,0.6520,0.0295,0.717
Cora,APPNP,0.5,0,3,386,0.6638,0.0119,0.746
Cora,APPNP,0.5,1,3,48,0.6516,0.0273,0.715
Cora,APPNP,0.5,0,4,398,0.6608,0.0087,0.752
Cora,APPNP,0.5,1,4,46,0.6490,0.0274,0.717
Cora,APPNP,0.5,0,5,386,0.6588,0.0098,0.752
Cora,APPNP,0.5,1,5,51,0.6484,0.0258,0.722
Cora,APPNP,1.0,0,1,308,0.7802,0.0213,0.801
Cora,APPNP,1.0,1,1,177,0.7836,0.0123,0.798
Cora,APPNP,1.0,0,2,400,0.7862,0.0219,0.806
Cora,APPNP,1.0,1,2,198,0.7922,0.0102,0.804
Cora,APPNP,1.0,0,3,400,0.7844,0.0242,0.809
Cora,APPNP,1.0,1,3,190,0.7920,0.0087,0.804
Cora,APPNP,1.0,0,4,400,0.7836,0.0265,0.811
Cora,APPNP,1.0,1,4,187,0.7894,0.0125,0.805
Cora,APPNP,1.0,0,5,325,0.7810,0.0305,0.812
Cora,APPNP,1.0,1,5,186,0.7862,0.0116,0.8
Cora,Cheby,0.25,0,1,399,0.4916,0.0567,0.557
Cora,Cheby,0.25,1,1,33,0.6288,0.0636,0.714
Cora,Cheby,0.25,0,2,394,0.5368,0.0598,0.606
Cora,Cheby,0.25,1,2,33,0.6434,0.0746,0.743
Cora,Cheby,0.25,0,3,393,0.5436,0.0708,0.621
Cora,Cheby,0.25,1,3,36,0.6442,0.0824,0.751
Cora,Cheby,0.25,0,4,399,0.5444,0.0747,0.626
Cora,Cheby,0.25,1,4,33,0.6420,0.0909,0.756
Cora,Cheby,0.25,0,5,396,0.5434,0.0808,0.632
Cora,Cheby,0.25,1,5,32,0.6366,0.0972,0.756
Cora,Cheby,0.5,0,1,400,0.6612,0.0328,0.701
Cora,Cheby,0.5,1,1,399,0.5434,0.0201,0.563
Cora,Cheby,0.5,0,2,385,0.6828,0.0381,0.723
Cora,Cheby,0.5,1,2,399,0.5504,0.0263,0.574
Cora,Cheby,0.5,0,3,400,0.6842,0.0413,0.73
Cora,Cheby,0.5,1,3,389,0.5448,0.0298,0.571
Cora,Cheby,0.5,0,4,398,0.6834,0.0468,0.731
Cora,Cheby,0.5,1,4,397,0.5428,0.0281,0.567
Cora,Cheby,0.5,0,5,400,0.6770,0.0455,0.729
Cora,Cheby,0.5,1,5,398,0.5380,0.0269,0.562
Cora,Cheby,1.0,0,1,387,0.7502,0.0100,0.766
Cora,Cheby,1.0,1,1,399,0.7236,0.0178,0.752
Cora,Cheby,1.0,0,2,353,0.7766,0.0141,0.795
Cora,Cheby,1.0,1,2,400,0.7604,0.0206,0.788
Cora,Cheby,1.0,0,3,329,0.7848,0.0147,0.805
Cora,Cheby,1.0,1,3,397,0.7644,0.0213,0.795
Cora,Cheby,1.0,0,4,391,0.7908,0.0106,0.808
Cora,Cheby,1.0,1,4,397,0.7672,0.0205,0.798
Cora,Cheby,1.0,0,5,335,0.7894,0.0124,0.806
Cora,Cheby,1.0,1,5,400,0.7682,0.0225,0.799
Cora,MLP,0.25,0,1,94,0.4606,0.0501,0.52
Cora,MLP,0.25,1,1,30,0.6404,0.0326,0.708
Cora,MLP,0.25,0,2,371,0.4950,0.0554,0.57
Cora,MLP,0.25,1,2,29,0.6696,0.0433,0.743
Cora,MLP,0.25,0,3,356,0.4984,0.0589,0.583
Cora,MLP,0.25,1,3,28,0.6704,0.0492,0.759
Cora,MLP,0.25,0,4,336,0.4992,0.0580,0.595
Cora,MLP,0.25,1,4,28,0.6702,0.0536,0.765
Cora,MLP,0.25,0,5,386,0.4924,0.0591,0.59
Cora,MLP,0.25,1,5,27,0.6672,0.0614,0.767
Cora,MLP,0.5,0,1,370,0.6532,0.0097,0.674
Cora,MLP,0.5,1,1,370,0.6532,0.0097,0.674
Cora,MLP,0.5,0,2,373,0.6658,0.0078,0.724
Cora,MLP,0.5,1,2,373,0.6658,0.0078,0.724
Cora,MLP,0.5,0,3,390,0.6650,0.0099,0.733
Cora,MLP,0.5,1,3,390,0.6650,0.0099,0.733
Cora,MLP,0.5,0,4,284,0.6642,0.0113,0.737
Cora,MLP,0.5,1,4,284,0.6642,0.0113,0.737
Cora,MLP,0.5,0,5,275,0.6602,0.0126,0.737
Cora,MLP,0.5,1,5,275,0.6602,0.0126,0.737
Cora,MLP,1.0,0,1,398,0.7534,0.0125,0.772
Cora,MLP,1.0,1,1,380,0.7456,0.0235,0.762
Cora,MLP,1.0,0,2,370,0.7790,0.0140,0.791
Cora,MLP,1.0,1,2,379,0.7724,0.0316,0.803
Cora,MLP,1.0,0,3,368,0.7860,0.0151,0.806
Cora,MLP,1.0,1,3,397,0.7740,0.0348,0.81
Cora,MLP,1.0,0,4,323,0.7894,0.0169,0.813
Cora,MLP,1.0,1,4,387,0.7798,0.0375,0.814
Cora,MLP,1.0,0,5,375,0.7908,0.0157,0.814
Cora,MLP,1.0,1,5,388,0.7794,0.0411,0.81
Citeseer,GCN,0.25,0,1,371,0.6614,0.0099,0.675
Citeseer,GCN,0.25,1,1,340,0.6762,0.0055,0.684
Citeseer,GCN,0.25,0,2,371,0.6628,0.0117,0.674
Citeseer,GCN,0.25,1,2,362,0.6758,0.0056,0.687
Citeseer,GCN,0.25,0,3,371,0.6638,0.0104,0.676
Citeseer,GCN,0.25,1,3,376,0.6734,0.0081,0.684
Citeseer,GCN,0.25,0,4,375,0.6640,0.0107,0.676
Citeseer,GCN,0.25,1,4,376,0.6734,0.0083,0.682
Citeseer,GCN,0.25,0,5,375,0.6638,0.0094,0.677
Citeseer,GCN,0.25,1,5,368,0.6716,0.0075,0.681
Citeseer,GCN,0.5,0,1,157,0.6096,0.0034,0.634
Citeseer,GCN,0.5,1,1,308,0.6932,0.0026,0.699
Citeseer,GCN,0.5,0,2,186,0.6156,0.0057,0.646
Citeseer,GCN,0.5,1,2,397,0.6966,0.0035,0.701
Citeseer,GCN,0.5,0,3,249,0.6214,0.0026,0.65
Citeseer,GCN,0.5,1,3,396,0.6962,0.0023,0.699
Citeseer,GCN,0.5,0,4,153,0.6230,0.0037,0.65
Citeseer,GCN,0.5,1,4,400,0.6962,0.0025,0.7
Citeseer,GCN,0.5,0,5,188,0.6248,0.0058,0.655
Citeseer,GCN,0.5,1,5,396,0.6960,0.0019,0.701
Citeseer,GCN,1.0,0,1,333,0.6816,0.0057,0.691
Citeseer,GCN,1.0,1,1,167,0.6622,0.0062,0.673
Citeseer,GCN,1.0,0,2,334,0.6852,0.0060,0.696
Citeseer,GCN,1.0,1,2,152,0.6656,0.0074,0.679
Citeseer,GCN,1.0,0,3,399,0.6860,0.0049,0.695
Citeseer,GCN,1.0,1,3,164,0.6700,0.0057,0.679
Citeseer,GCN,1.0,0,4,336,0.6866,0.0034,0.695
Citeseer,GCN,1.0,1,4,168,0.6700,0.0053,0.679
Citeseer,GCN,1.0,0,5,332,0.6842,0.0056,0.696
Citeseer,GCN,1.0,1,5,144,0.6700,0.0066,0.682
Citeseer,SGC,0.25,0,1,400,0.6100,0.0012,0.613
Citeseer,SGC,0.25,1,1,35,0.6114,0.0065,0.625
Citeseer,SGC,0.25,0,2,400,0.6130,0.0033,0.618
Citeseer,SGC,0.25,1,2,30,0.6140,0.0108,0.627
Citeseer,SGC,0.25,0,3,400,0.6184,0.0023,0.622
Citeseer,SGC,0.25,1,3,29,0.6152,0.0098,0.629
Citeseer,SGC,0.25,0,4,400,0.6166,0.0035,0.622
Citeseer,SGC,0.25,1,4,36,0.6140,0.0085,0.626
Citeseer,SGC,0.25,0,5,400,0.6164,0.0018,0.619
Citeseer,SGC,0.25,1,5,33,0.6152,0.0081,0.626
Citeseer,SGC,0.5,0,1,30,0.6182,0.0022,0.624
Citeseer,SGC,0.5,1,1,397,0.6814,0.0013,0.684
Citeseer,SGC,0.5,0,2,28,0.6198,0.0043,0.63
Citeseer,SGC,0.5,1,2,366,0.6816,0.0021,0.684
Citeseer,SGC,0.5,0,3,26,0.6224,0.0059,0.63
Citeseer,SGC,0.5,1,3,369,0.6828,0.0019,0.685
Citeseer,SGC,0.5,0,4,28,0.6254,0.0057,0.634
Citeseer,SGC,0.5,1,4,367,0.6850,0.0025,0.688
Citeseer,SGC,0.5,0,5,24,0.6252,0.0075,0.637
Citeseer,SGC,0.5,1,5,399,0.6842,0.0019,0.686
Citeseer,SGC,1.0,0,1,328,0.6732,0.0019,0.68
Citeseer,SGC,1.0,1,1,400,0.6444,0.0018,0.646
Citeseer,SGC,1.0,0,2,350,0.6794,0.0013,0.683
Citeseer,SGC,1.0,1,2,399,0.6532,0.0011,0.654
Citeseer,SGC,1.0,0,3,81,0.6822,0.0040,0.688
